"cities","cenv_Total number of hours of sunshine per day","cenv_Average temperature of warmest month - degrees","cenv_Average temperature of coldest month - degrees","cenv_Rainfall - litre/m²","cenv_Number of days ozone O3 concentrations exceed 120 µg/m³","cenv_Number of hours nitrogen dioxide NO2 concentrations exceed 200 µg/m³","cenv_Number of days particulate matter PM10 concentrations exceed 50 µg/m³","cenv_Accumulated ozone concentration in excess 70 µg/m³","cenv_Annual average concentration of NO2 (µg/m³)","cenv_Annual average concentration of PM10 (µg/m³)","cenv_Total use of water - m³","cenv_Price of a m³ of domestic water - Euro","cenv_Share of the urban wastewater load (in population equivalents) treated according to the applicable standard -%","cenv_Share of population connected to potable drinking water system - %","cenv_Share of population connected to sewerage treatment system - %","cenv_Municipal waste generated (domestic and commercial), total - 1000 t","cenv_Share of land (%): continuous residential urban fabric","cenv_Share of land (%): discontinuous residential urban fabric","cenv_Share of land (%): industrial, commercial, public, military and private units","cenv_Share of land (%): transport infrastructure","cenv_Share of land (%): other artificial areas","cenv_Share of land (%): green urban areas and sports and leisure facilities","cenv_Share of land (%): agricultural areas","cenv_Share of land (%): natural areas","clivcon_Private households (excluding institutional households)","clivcon_Proportion of households that are 1-person households","clivcon_One person households","clivcon_Average size of households","clivcon_Proportion of households that are lone-parent households","clivcon_Lone parent private households (with children aged 0 to under 18)","clivcon_Proportion of households that are lone-pensioner households","clivcon_Lone pensioner (above retirement age) households","clivcon_Proportion of households with children aged 0-17","clivcon_Households with children aged 0 to under 18","clivcon_Lone parent households per 100 households with children aged 0-17","clivcon_Population living in private households (excluding institutional households)","clivcon_Median disposable annual household income - EUR","clivcon_Average disposable annual household income - EUR","clivcon_Share of persons living in households with very low work intensity - %","clivcon_Share of persons at risk of poverty after social transfers -%","clivcon_Share of severely materially deprived persons -%","clivcon_Share of persons at risk of poverty or social exclusion -%","clivcon_Number of conventional dwellings","clivcon_Number of houses","clivcon_Number of apartments","clivcon_Proportion of households living in houses","clivcon_Number of households living in houses","clivcon_Proportion of households living in apartments","clivcon_Number of households living in apartments","clivcon_Proportion of households living in owned dwellings","clivcon_Households owning their own dwelling","clivcon_Households in social housing","clivcon_Households in private rented housing","clivcon_Dwellings lacking basic amenities","clivcon_Average area of living accommodation - m²/person","clivcon_Empty conventional dwellings","clivcon_Number of people in accommodation for the homeless","clivcon_Average annual rent for housing per m² - EUR","clivcon_Average price for buying a house - EUR","clivcon_Average price for buying an apartment - EUR","clivcon_Average price for buying a house per m2 - EUR","clivcon_Average price for buying an apartment per m2 - EUR","clivcon_Number of murders and violent deaths","clma_Activity rate","clma_Activity rate, male","clma_Economically active population, male","clma_Activity rate, female","clma_Economically active population, female","clma_Persons unemployed, total","clma_Unemployment rate, male","clma_Persons unemployed, male","clma_Unemployment rate, female","clma_Persons unemployed, female","clma_Unemployment rate","clma_Economically active population, 55-64, total","clma_Economically active population, 55-64, male","clma_Economically active population, 55-64, female","clma_Economically active population, 20-64, total","clma_Economically active population, 20-64, male","clma_Economically active population, 20-64, female","clma_Persons employed, 20-64, total","clma_Persons employed, 20-64, male","clma_Persons employed, 20-64, female","clma_Persons employed, 55-64, total","clma_Persons employed, 55-64, male","clma_Persons employed, 55-64, female","clma_Employment (jobs) in agriculture, fishery (NACE Rev. 2, A)","clma_Employment (jobs) in mining, manufacturing, energy (NACE Rev. 2, B-E)","clma_Total employment/jobs (workplace based)","clma_Employment (jobs) in construction (NACE Rev. 2, F)","clma_Employment (jobs) in trade, transport, hotels, restaurants (NACE Rev. 2, G to I)","clma_Employment (jobs) in information and communication (NACE Rev. 2, J)","clma_Employment (jobs) in financial and insurance activities (NACE Rev. 2, K)","clma_Employment (jobs) in real estate activities (NACE Rev. 2, L)","clma_Employment (jobs) in professional, scientific and technical activities; administrative and support service activities (NACE Rev. 2, M and N)","clma_Employment (jobs) in public administration, defence, education, human health and social work activities (NACE Rev. 2, O to Q)","clma_Employment (jobs) in arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies (NACE Rev. 2, R to T)","cpop1_Population on the 1st of January, total","cpop1_Population on the 1st of January, male","cpopcb_Nationals as a proportion of population","cpopcb_Nationals","cpopcb_EU foreigners as a proportion of population","cpopcb_EU foreigners","cpopcb_Non-EU foreigners as a proportion of population","cpopcb_Non-EU foreigners","cpopcb_Foreigners as a proportion of population","cpopcb_Native-born as a proportion of population","cpopcb_Native-born","cpopcb_Foreign-born as a proportion of population","cpopcb_Foreign-born","cpopcb_Foreign-born in a EU country","cpopcb_Foreign-born in a non-EU country","cpopcb_Foreigners","cpopcb_Population with the place of residence in the same dwelling, in the year before","cpopcb_Population with the place of residence in another dwelling in the same city/FUA, in the year before","cpopcb_Population with the place of residence in another dwelling outside the current city/FUA in the same country, in the year before","cpopcb_Population with the place of residence in another EU country, in the year before","cpopcb_Population with the place of residence outside the EU, in the year before","ctour_Number of cinema seats per 1000 residents","ctour_Number of cinema seats (total capacity)","ctour_Cinema attendance (per year)","ctour_Number of museum visitors (per year)","ctour_Number of theatres","ctour_Number of public libraries (all distribution points)","ctour_Number of public swimming pools (indoor and outdoor, excluding beaches)","ctour_Total nights spent in tourist accommodation establishments","ctour_Number of bed-places in tourist accommodation establishments","ctour_Number of available beds per 1000 residents","ctour_Nights spent in tourist accommodation establishments by residents","ctour_Total nights spent in tourist accommodation establishments per resident population","ctour_Nights spent in tourist accommodation establishments by non-residents","ctran_Share of journeys to work by car -%","ctran_Share of journeys to work by motorcycle -%","ctran_Share of journeys to work by bicycle -%","ctran_Share of journeys to work by foot -%","ctran_Share of journeys to work by public transport (rail, metro, bus, tram) -%","ctran_Share of journeys to work by car or motorcycle -%","ctran_Average time of journey to work - minutes","ctran_Average length of journey to work by private car - km","ctran_Number of registered cars per 1000 population","ctran_Number of private cars registered","ctran_People killed in road accidents per 10000 pop.","ctran_Number of deaths in road accidents","ctran_People commuting into the city","ctran_People commuting out of the city","ctran_Length of bicycle network (dedicated cycle paths and lanes) - km","ctran_Cost of a combined monthly ticket (all modes of public transport) for 5-10 km in the central zone - EUR","ctran_Cost of a taxi ride of 5 km to the centre at day time - EUR"
"Amsterdam (greater city)","","","","",2.5,0.0,3.5,1917.0,22.4,20.6,"",1.69,100.0,100.0,100.0,3877.0,11.82,15.48,11.86,21.51,2.68,14.94,20.44,1.26,583974.0,53.81,314233.0,1.81,4.65,27143.0,12.17,71068.0,17.34,101232.0,26.81,1059850.0,22900.0,29000.0,16.3,22.1,"","",545984.0,90621.0,455363.0,"","","","","","","","","","",31738.0,"","","","","","",340.0,69.0,72.53,341566.0,65.59,320415.0,31449.0,5.03,17183.0,4.45,14266.0,4.75,74000.0,42000.0,33000.0,595153.0,309005.0,286147.0,570835.0,295675.0,275160.0,80799.0,42023.0,38776.0,300.0,28500.0,809100.0,12100.0,180100.0,78000.0,66800.0,10500.0,203400.0,190800.0,32900.0,1073736.0,529669.0,78.0,837590.0,9.7,104160.0,12.3,131986.0,22.0,41.4,444946.0,37.5,402534.0,94082.0,308452.0,236146.0,"","","","","","","","","",50.0,29.0,12.0,12538000.0,55084.0,68.92,"",15.46,"","","","","","","","","",303.16,325509.0,0.16,16.0,262103.0,98218.0,1154.4,"",""
"Antwerpen (greater city)",5.0,17.6,4.2,759.8,"",0.0,19.0,"",28.4,26.1,24472029.0,3.0,99.18,99.0,99.18,212.07,10.55,13.14,8.95,41.74,1.24,6.84,13.68,3.87,243121.0,44.29,107690.0,2.23,5.49,13347.0,13.21,32128.0,24.35,59205.0,22.54,541327.0,"","","","","","",280839.0,82712.0,165345.0,"","","","","","","","","","","",447.0,"",391194.0,267773.0,"","",8.0,52.39,58.62,135106.0,46.24,109977.0,20614.0,7.77,11797.0,6.86,8817.0,7.36,23856.0,14064.0,9792.0,239150.0,131996.0,107154.0,222972.0,122435.0,100537.0,28824.0,16043.0,12781.0,127.0,30081.0,302837.0,9647.0,68980.0,10563.0,11523.0,4119.0,73700.0,82782.0,11315.0,547794.0,275342.0,75.9,415791.0,10.8,59273.0,13.3,72730.0,24.1,65.1,356837.0,34.9,190957.0,48057.0,142900.0,132003.0,464605.0,36712.0,14202.0,"","",24.53,12227.0,2864810.0,2116826.0,42.0,16.0,17.0,725493.0,17658.0,33.32,324744.0,1.37,400749.0,"","","","",20.7,55.89,"","",401.43,219900.0,0.16,9.0,"","",575.8,49.0,15.0
"Barcelona (greater city)","","","","","","","","","","","","","","","","","","","","","","","","",1037593.0,29.83,309495.0,2.48,3.19,33109.0,13.03,135153.0,24.34,252527.0,13.11,2573761.0,"",33112.91,"","","","",1079128.0,92577.0,1394318.0,"","","","","",913120.0,"",304094.0,14152.0,"",147541.0,"",147.02,512620.0,293057.0,2927.0,3612.0,18.0,58.03,62.88,736300.0,53.62,685872.0,112675.0,7.82,57587.0,8.03,55088.0,7.92,256305.0,132090.0,124215.0,1365546.0,706163.0,659383.0,1262114.0,653070.0,609044.0,227987.0,117996.0,109991.0,1547.0,72298.0,1512320.0,78585.0,410218.0,104715.0,57111.0,35255.0,325050.0,339026.0,88515.0,2658830.0,1278458.0,77.3,2055874.0,4.9,129122.0,17.8,473834.0,22.7,67.7,1799709.0,30.9,820283.0,93299.0,726984.0,602956.0,2211203.0,250357.0,44677.0,19894.0,114795.0,14.47,54509.0,8356152.0,"","",74.0,"","","","","","","",37.03,4.28,1.72,14.16,24.29,41.3,27.18,"",278.97,741737.0,0.16,42.0,"","","","",""
"Basel (greater city)","","","","","","","","","","","","","","","","",2.13,26.12,9.74,9.5,1.65,4.89,22.68,23.29,170814.0,43.25,73871.0,2.03,3.17,5486.67,15.81,27003.0,20.53,35074.0,"",345916.0,"","","","","","",193896.0,29928.0,163968.0,16.79,28321.0,83.21,144392.0,25.36,42819.47,"",124239.06,"",43.86,1525.0,"",221.6,"","","","",3.0,60.2,65.58,92762.78,55.19,87871.75,9231.91,6.92,4867.65,5.43,4364.26,6.21,31947.9,17194.93,14752.97,171555.54,87621.06,83934.48,162710.51,82958.05,79752.46,30248.2,16115.97,14132.23,600.0,38910.0,284202.0,13401.0,55236.0,8461.0,13447.0,3936.0,56139.0,78021.0,16051.0,355946.0,172716.0,66.3,236091.0,19.9,70982.0,13.7,48873.0,33.7,60.4,215104.0,39.6,140842.0,70747.0,70095.0,119855.0,"","","","","",9.98,3525.0,605875.0,1448300.0,12.0,84.0,"",1695604.0,10255.99,29.04,649711.0,4.8,1045893.0,26.37,1.77,19.34,7.52,45.0,28.14,33.14,11.85,387.23,136770.0,0.2,7.0,48180.45,23183.99,"",90.0,28.0
"Berlin",5.4,18.6,-0.5,568.1,8.33,0.0,13.5,3356.0,23.0,22.3,206000000.0,1.81,100.0,99.81,99.72,1347.4,5.35,29.28,13.73,10.0,0.59,14.85,5.97,20.22,2009000.0,52.56,1056000.0,0.12,4.73,95000.0,15.43,310000.0,18.91,380000.0,25.0,248000.0,25704.0,32736.0,11.6,19.3,"","",2058666.0,206427.0,1852239.0,17.26,356831.0,75.38,1652700.0,13.75,302223.0,220000.0,1452400.0,"",45.6,111000.0,"",9.3,630540.63,353177.54,5234.18,5225.29,117.0,61.41,66.46,1058000.0,56.61,948000.0,138000.0,7.09,75000.0,6.65,63000.0,6.88,338690.0,177140.0,161560.0,1905000.0,999000.0,906000.0,1777000.0,930000.0,846000.0,321760.0,167750.0,154010.0,802.0,184000.0,2081000.0,109000.0,396000.0,172000.0,62000.0,40000.0,323000.0,514000.0,149000.0,3685265.0,1810259.0,77.5,2856188.0,6.7,247600.0,13.4,494400.0,22.5,85.4,2882800.0,14.6,492400.0,188600.0,440200.0,829077.0,3282800.0,222400.0,59600.0,26000.0,48600.0,11.78,43419.0,8063440.0,15798134.0,26.0,71.0,56.0,12278460.0,134655.0,36.7,8554476.0,3.35,3723984.0,37.7,1.4,12.8,5.8,42.4,39.0,32.5,12.6,282.69,1061565.0,0.15,55.0,321219.0,185723.0,1073473.0,63.42,17.3
"Birmingham","","","","",3.5,0.0,7.0,1716.0,31.9,17.9,"","","","","",490.6,1.6,48.37,15.45,9.05,0.88,16.68,7.39,0.58,423967.0,24.68,98353.0,2.68,7.96,31712.0,8.36,33312.0,36.74,146406.0,21.66,1136572.0,"","","","","","",437350.0,308210.0,114110.0,75.61,310543.0,23.93,98309.0,56.13,230556.0,104177.0,73405.0,"","",4283.0,"","",232961.1,153121.0,"","",18.0,59.15,67.36,294900.0,51.29,234100.0,40700.0,6.92,20400.0,8.67,20300.0,7.7,61500.0,35000.0,26600.0,498200.0,278300.0,219900.0,463200.0,260100.0,203000.0,61600.0,31500.0,25400.0,400.0,41813.0,520039.0,20000.0,128700.0,14000.0,23000.0,10000.0,97600.0,163100.0,21800.0,1139249.0,563944.0,85.5,973780.0,8.3,94015.0,6.0,68777.0,14.3,74.2,845706.0,25.5,290244.0,74991.0,215253.0,162792.0,"","","","","",12.19,13081.0,"",730000.0,8.0,42.0,16.0,"",25184.0,23.32,"","","",63.8,0.5,1.6,10.4,23.0,64.3,"","",330.57,376607.0,0.12,14.0,"","",233.0,102.67,""
"Bratislava (greater city)","","","","",28.0,1.0,13.5,4837.0,24.0,23.0,32325647.0,2.23,"",86.2,94.6,211.69,3.04,8.82,10.72,6.52,1.53,3.74,37.43,28.2,162179.0,"",51599.0,"","",7198.0,"",17924.0,"",36751.0,"",396669.0,"","","","","","",219297.0,22056.0,176254.0,"",18528.0,"",143587.0,"",137847.0,1111.0,3443.0,"",26.1,7003.0,"","",339815.0,170368.0,1903.0,3068.0,7.0,"","",112424.0,"",110013.0,18861.0,"",10116.0,"",8745.0,"",38755.0,19572.0,19183.0,213664.0,107866.0,105798.0,"","","",36222.0,18209.0,18013.0,1295.0,55140.0,534528.0,21479.0,128423.0,41508.0,22261.0,12032.0,99735.0,129281.0,23374.0,475577.0,227293.0,96.7,459900.0,1.9,8821.0,1.4,6576.0,3.2,92.5,439795.0,6.7,31858.0,21190.0,10668.0,15397.0,"","",6539.0,482.0,508.0,21.39,9363.0,547143.0,314693.0,53.0,15.0,9.0,916148.0,19129.0,43.7,496056.0,2.09,420092.0,"","","","","","",23.5,"",400.28,190336.0,0.16,7.0,141694.0,12931.0,122.06,26.9,4.59
"Brno","","","","",19.0,0.0,20.0,3982.0,17.4,24.2,"",2.71,1.0,1.0,98.0,119.22,"","","","","","","","",172260.0,36.68,63189.0,2.16,"","","","","","","",372679.0,5250.0,5556.0,5.0,10.0,4.0,14.0,177465.0,38076.0,137442.0,"","","","","","","","",14413.0,22.7,13869.0,225.0,90.0,713.0,1615.0,"","",6.0,59.17,65.29,102049.0,53.58,91571.0,18138.0,9.12,9304.0,9.65,8834.0,9.37,"","","","","","",169359.0,88994.0,80365.0,27016.0,14438.0,12578.0,"","","","","","","","","","","",379466.0,184748.0,94.7,359009.0,2.2,8335.0,3.8,14291.0,6.0,92.8,351557.0,8.7,32785.0,16700.0,16058.0,22626.0,"","","","","",10.03,3800.0,490000.0,464100.0,16.0,41.0,14.0,722915.0,9601.0,25.33,"",1.91,"","","","","","","",36.0,"",424.73,160959.0,0.21,8.0,55778.0,11467.0,39.0,21.87,7.16
"Bruxelles/Brussel (greater city)",5.0,17.6,4.0,815.7,10.33,1.25,14.7,2390.0,30.3,24.2,59317300.0,3.0,100.0,100.0,99.8,683.12,16.19,26.77,15.27,13.97,0.94,13.16,2.48,11.22,583832.0,47.78,278975.0,2.14,6.89,40212.0,11.2,65415.0,24.66,143998.0,27.93,1250211.0,"","","","","","",606437.0,124975.0,360076.0,"","","","","","","","","","","",2692.0,"",610516.0,300085.0,"","",34.0,52.68,59.75,285167.0,46.03,247784.0,68381.0,11.56,38611.0,11.9,29770.0,11.72,47434.0,26229.0,21205.0,525329.0,280714.0,244615.0,465251.0,249227.0,216024.0,60539.0,32153.0,28387.0,284.0,26514.0,735305.0,23630.0,125504.0,41175.0,54619.0,12965.0,140822.0,265522.0,44270.0,1264371.0,623076.0,62.1,785550.0,22.9,288959.0,15.0,189862.0,37.9,50.9,643432.0,49.1,620939.0,239111.0,381828.0,478821.0,1051728.0,101358.0,22244.0,"","",12.57,14289.0,3752513.0,5020000.0,97.0,67.0,16.0,1782873.0,40465.0,33.08,499008.0,1.46,1283865.0,48.5,1.2,1.9,4.1,40.3,49.7,"","",394.55,498855.0,0.09,11.0,"","",513.0,60.0,15.0
"Budapest (greater city)","",23.9,-1.0,815.2,21.0,0.0,26.0,3973.0,23.4,27.7,116210860.0,1.9,91.2,100.0,95.45,374.0,15.07,23.05,13.19,10.73,1.62,8.17,18.21,9.97,800394.0,44.86,359029.0,2.06,5.74,45917.0,16.03,128326.0,19.66,157323.0,29.19,1649103.0,"","","","","","",973656.0,187196.0,717182.0,"","",3.19,26623.0,82.7,689530.0,40052.0,98652.0,19010.0,31.05,160723.0,5077.0,"",217853.2,142480.55,2031.63,2620.31,14.0,60.41,68.26,478369.0,53.84,471728.0,20811.0,1.59,9337.0,2.12,11474.0,1.85,127501.0,65498.0,62003.0,891419.0,447708.0,443711.0,857137.0,430354.0,426783.0,121372.0,61999.0,59373.0,4669.0,123181.0,1219426.0,74175.0,290631.0,101878.0,60994.0,20147.0,201886.0,271536.0,69095.0,1686222.0,792495.0,93.2,1572258.0,1.4,23540.0,5.4,90424.0,6.8,86.9,1465856.0,13.1,220366.0,86449.0,133917.0,113964.0,1524181.0,41229.0,99965.0,4684.0,15283.0,16.54,27892.0,5513958.0,4606246.0,131.0,240.0,"",2418305.0,37553.0,21.46,4251891.0,1.38,1833586.0,"","","","","","","","",428.99,723372.0,0.23,38.0,"","",213.0,22.65,7.59
