time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
01.01.2002,3,15.4,10.5,12.2,11.9,7.5,9.2,2002-01-01T09:00,2002-01-01T18:42,0,0,0,0,25.2,41.8,76,6.89,1.27
02.01.2002,51,16.2,9.8,12.2,14.1,6.7,9.4,2002-01-02T09:00,2002-01-02T18:42,0.6,0.6,0,2,19.1,34.6,128,6.93,1.65
03.01.2002,51,17.2,8.4,12,15.1,5.2,9.9,2002-01-03T09:00,2002-01-03T18:43,0.1,0.1,0,1,13.7,24.1,203,10.43,1.87
04.01.2002,61,13.6,7.8,10.2,12.9,6.4,9.1,2002-01-04T09:00,2002-01-04T18:44,6,6,0,15,12.3,24.8,214,8.45,1.02
05.01.2002,51,13.8,7.9,10.6,11.7,5.9,8.4,2002-01-05T09:00,2002-01-05T18:45,0.3,0.3,0,3,17.1,31,83,7.05,1.18
06.01.2002,3,13.4,7.5,9.9,9.8,4.8,7,2002-01-06T09:00,2002-01-06T18:46,0,0,0,0,19.2,35.3,84,9.19,1.53
07.01.2002,0,13.6,3.6,8,11.3,0.4,5,2002-01-07T09:00,2002-01-07T18:47,0,0,0,0,11.5,20.9,132,11.29,1.66
08.01.2002,1,14,3.6,7.8,11.7,-0.4,4.4,2002-01-08T09:00,2002-01-08T18:47,0,0,0,0,13.4,24.1,136,11.15,1.84
09.01.2002,2,15.7,4.6,9,13.6,1,6.1,2002-01-09T09:00,2002-01-09T18:48,0,0,0,0,13.1,22,131,10.45,1.74
10.01.2002,0,15.2,5.1,9.4,13.3,1.9,6.9,2002-01-10T09:00,2002-01-10T18:49,0,0,0,0,10.8,20.9,158,11.16,1.65
11.01.2002,3,14.3,3.7,8.5,12.7,1.4,6.8,2002-01-11T09:00,2002-01-11T18:50,0,0,0,0,9.7,23,231,10.4,1.39
12.01.2002,2,13.1,5.8,9,11.4,3.8,7.1,2002-01-12T09:00,2002-01-12T18:51,0,0,0,0,8.2,17.6,158,9.48,1.29
13.01.2002,3,13.8,3.5,7.8,12,1,5.7,2002-01-13T08:59,2002-01-13T18:52,0,0,0,0,9.4,18.4,216,11.01,1.43
14.01.2002,63,12.3,7.5,9.9,9.9,5.3,7.5,2002-01-14T08:59,2002-01-14T18:53,19.3,19.3,0,18,23.2,45.4,281,6.44,0.91
15.01.2002,53,13.2,6.7,9.7,12.3,4.7,8.5,2002-01-15T08:59,2002-01-15T18:54,3.4,3.4,0,12,9.4,25.2,248,8.45,1.08
16.01.2002,55,11.9,6.2,9.3,10.3,3.9,7.1,2002-01-16T08:58,2002-01-16T18:55,7.5,7.5,0,15,16.6,40,278,8.28,0.99
17.01.2002,53,11.6,4.8,8,10,2.2,6.2,2002-01-17T08:58,2002-01-17T18:56,4.7,4.7,0,12,11.8,26.3,314,8.09,1.03
18.01.2002,3,12.7,2.8,7.3,11,-0.1,4.9,2002-01-18T08:58,2002-01-18T18:57,0,0,0,0,8.4,15.5,166,9.23,1.26
19.01.2002,1,13.7,2.8,7.9,11.3,0.2,5.8,2002-01-19T08:57,2002-01-19T18:58,0,0,0,0,8.7,17.6,228,11.67,1.58
20.01.2002,2,13.6,3.6,8,12.2,1.3,5.9,2002-01-20T08:57,2002-01-20T18:59,0,0,0,0,9.9,18.7,145,11.34,1.47
21.01.2002,0,17.4,3.6,8.9,16.1,0.3,6.5,2002-01-21T08:56,2002-01-21T19:00,0,0,0,0,13.6,23,161,12.7,1.87
22.01.2002,51,16.5,7.6,11.9,11.9,3.5,8.1,2002-01-22T08:56,2002-01-22T19:01,1.1,1.1,0,6,33,56.5,235,7.51,2.14
