id,date,proposalx,d1e1,d2e1,d3e1,turnoutx,titel_kurz_d,age,age_category,part,vote_x,educ
1220001.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,46.0,class45,did not,,5
1220002.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,23.0,class18,did not,,6
1220003.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,70.0,class65,did,no (rejected),7
1220004.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,58.0,class55,did not,,5
1220005.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,57.0,class55,did,don’t know,5
1220006.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,31.0,class25,did not,,9
1220007.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,56.0,class55,did not,,5
1220008.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,54.0,class45,did not,,2
1220009.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,22.0,class18,did,yes (accepted),5
1220010.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,77.0,class75,did not,,5
1220011.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,84.0,class75,did not,,2
1220012.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,87.0,class75,did not,,2
1220013.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,23.0,class18,did,yes (accepted),4
1220014.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,60.0,class55,did,yes (accepted),6
1220015.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,78.0,class75,did,no (rejected),2
1220016.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,70.0,class65,did,yes (accepted),5
1220017.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,90.0,class75,did,yes (accepted),5
1220018.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,87.0,class75,did,no (rejected),1
1220019.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,40.0,class35,did,yes (accepted),9
1220020.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,46.0,class45,did,yes (accepted),5
1220021.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,75.0,class75,did,yes (accepted),6
1220022.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,65.0,class65,did,no (rejected),1
1220023.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,73.0,class65,did,voted blank / did not vote for this voting proposal,5
1220024.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,18.0,class18,did,yes (accepted),2
1220025.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,70.0,class65,did,don’t know,5
1220026.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,76.0,class75,did not,,2
1220027.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,51.0,class45,did,yes (accepted),9
1220028.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,81.0,class75,did not,,2
1220029.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,71.0,class65,did not,,2
1220030.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,64.0,class55,did,no (rejected),6
1220031.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,90.0,class75,did,no (rejected),2
1220032.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,83.0,class75,did,yes (accepted),5
1220033.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,72.0,class65,did not,,2
1220034.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,83.0,class75,did,don’t know,2
1220035.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,85.0,class75,did not,,5
1220036.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,22.0,class18,did not,,2
1220037.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,81.0,class75,did,no (rejected),5
1220038.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,82.0,class75,did,no (rejected),5
1220039.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,73.0,class65,did,don’t know,5
1220040.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,50.0,class45,did not,,2
1220041.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,67.0,class65,did,no (rejected),5
1220042.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,71.0,class65,did,no (rejected),2
1220043.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,60.0,class55,did,yes (accepted),5
1220044.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,75.0,class75,did,don’t know,6
1220045.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,30.0,class25,did not,,5
1220046.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,66.0,class65,did,yes (accepted),2
1220047.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,62.0,class55,did,yes (accepted),9
1220048.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,78.0,class75,did not,,3
1220049.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,63.0,class55,did,no (rejected),5
1220050.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,79.0,class75,did,yes (accepted),5
1220051.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,87.0,class75,did not,,5
1220052.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,81.0,class75,did not,,2
1220053.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,74.0,class65,did,no (rejected),6
1220054.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,21.0,class18,did not,,4
1220055.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,86.0,class75,did not,,5
1220056.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,83.0,class75,did,no (rejected),6
1220057.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,82.0,class75,did not,,2
1220058.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,65.0,class65,did,yes (accepted),6
1220059.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,52.0,class45,did not,,5
1220060.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,75.0,class75,did not,,2
1220061.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,80.0,class75,did not,,9
1220062.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,45.0,class45,did,yes (accepted),5
1220063.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,71.0,class65,did,no (rejected),5
1220064.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,52.0,class45,did not,,8
1220065.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,74.0,class65,did,no (rejected),9
1220066.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,75.0,class75,did,no (rejected),3
1220067.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,61.0,class55,did not,,5
1220068.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,28.0,class25,did,yes (accepted),9
1220069.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,93.0,class75,did,no (rejected),5
1220070.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,27.0,class25,did not,,5
1220071.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,72.0,class65,did,no (rejected),5
1220072.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,31.0,class25,did not,,99
